STT,Nhom,Cau hoi chinh,Bien the (cach ngan ; ),Cau tra loi,Tag
87,G,Có tổ chức được lễ đón dâu/rước dâu không?,Có làm luôn lễ rước dâu không?,"Dạ nhà hàng linh hoạt theo nhu cầu: có thể chỉ đặt tiệc đãi khách tại nhà hàng, hoặc sử dụng trọn gói bao gồm cả hỗ trợ chuẩn bị lễ gia tiên/mâm quả cho phần lễ tại nhà riêng.",le_ruoc_dau
88,G,Đặt trọn gói có được giảm giá so với đặt lẻ từng dịch vụ không?,Đặt gói trọn có rẻ hơn không?,"Dạ thông thường đặt trọn gói sẽ được nhà hàng ưu tiên hỗ trợ giá tốt hơn so với đặt lẻ từng phần, đồng thời anh/chị cũng đỡ mất công liên hệ nhiều nơi.",uu_dai_tron_goi
89,G,Thời gian chuẩn bị cho 1 tiệc cưới trọn gói mất bao lâu?,Chuẩn bị tiệc mất mấy ngày?,"Dạ thời gian chuẩn bị tùy quy mô tiệc, thông thường nhà hàng khuyến khích đặt trước 1–3 tháng để có đủ thời gian lên thực đơn, chuẩn bị mâm quả, gia tiên và trang trí chỉn chu nhất.",thoi_gian_chuan_bi
90,G,Có tư vấn kịch bản/timeline chương trình tiệc cưới không?,Có lên timeline chương trình không?,"Dạ có ạ, nhân viên phụ trách sẽ trao đổi và hỗ trợ lên timeline chương trình tiệc (giờ đón khách, giờ làm lễ, phát biểu, khai tiệc...) để buổi tiệc diễn ra trơn tru, đúng giờ.",timeline_chuong_trinh
91,G,Nhà hàng có tổ chức lễ hỏi riêng biệt với đám cưới không?,Đám hỏi có tổ chức riêng được không?,"Dạ được ạ, nhà hàng nhận tổ chức riêng lễ ăn hỏi (đám hỏi) với mâm quả, tiệc nhỏ gọn phù hợp, không nhất thiết phải đi kèm tiệc cưới lớn.",to_chuc_dam_hoi
92,G,"Có hỗ trợ in thiệp cưới, sổ mừng cưới không?",Có in thiệp cưới không ạ?,"Dạ nhà hàng có thể hỗ trợ chuẩn bị bàn tiếp khách, sổ mừng cưới cơ bản; riêng phần in thiệp cưới nên đặt sớm ở đơn vị in ấn để đảm bảo kịp thời gian gửi khách mời.",thiep_cuoi_so_mung
93,G,Nhà hàng có phục vụ tiệc chia tay/tân hôn sau đám cưới không?,Có làm tiệc lại mặt không?,"Dạ có ạ, ngoài tiệc cưới chính, nhà hàng cũng nhận tổ chức các buổi tiệc liên quan như lại mặt, tân hôn, họp mặt gia đình hai bên với quy mô nhỏ gọn theo yêu cầu.",tiec_lai_mat
94,H,Muốn đổi ngày tổ chức tiệc sang ngày khác thì có được không?,Dời ngày cưới có được không?,"Dạ anh/chị có thể đổi ngày tổ chức, tuy nhiên nên báo cho nhà hàng càng sớm càng tốt để kiểm tra lịch trống ngày mới còn phù hợp không.",doi_lich_to_chuc
95,H,Nếu hủy tiệc gấp sát ngày tổ chức thì xử lý thế nào?,Hủy gấp trước 1 ngày có được không?,"Dạ trường hợp hủy sát ngày tổ chức, do nhà hàng đã chuẩn bị nguyên liệu và sắp xếp nhân sự, có thể sẽ áp dụng chính sách không hoàn cọc hoặc phụ thu tùy tình huống cụ thể. Vui lòng liên hệ hotline ngay khi có thay đổi để được hỗ trợ tốt nhất.",huy_gap_sat_ngay
96,H,Nếu trời mưa bão ảnh hưởng đến tiệc thì nhà hàng có hỗ trợ gì không?,Bão đến ngày cưới thì sao ạ?,"Dạ trong trường hợp bất khả kháng như mưa bão, thiên tai, nhà hàng sẽ linh động hỗ trợ dời lịch hoặc tư vấn phương án phù hợp nhất cho gia đình.",bat_kha_khang
97,H,Nếu số lượng khách đến thực tế đông hơn dự kiến thì có sắp xếp thêm bàn được không?,Khách đến đông hơn dự tính thì sao?,"Dạ nhà hàng sẽ cố gắng linh động sắp xếp thêm bàn ngay trong khả năng cho phép. Để chủ động hơn, nên báo trước số bàn dự phòng khi đặt tiệc.",khach_dong_hon_du_kien
98,H,Nếu món ăn giao không đúng như đã thỏa thuận thì xử lý thế nào?,Món ăn không đúng như đặt thì sao?,"Dạ nếu có sai sót về món ăn so với thỏa thuận, vui lòng phản ánh ngay với nhân viên phụ trách tại tiệc hoặc qua hotline để nhà hàng kiểm tra và xử lý, bổ sung kịp thời.",khieu_nai_mon_an
99,H,Có thể yêu cầu đổi khu vực tổ chức sau khi đã đặt không?,Đổi từ trong nhà ra ngoài rạp được không?,"Dạ được ạ, miễn là khu vực còn trống vào thời điểm tiệc của mình, cứ báo trước cho nhà hàng để được sắp xếp và xác nhận lại khu vực tổ chức phù hợp.",doi_khu_vuc_to_chuc
100,H,Nếu chương trình tiệc bị trễ giờ thì nhà hàng có tính thêm phí không?,Tiệc kéo dài hơn dự kiến có tính thêm tiền không?,"Dạ nếu tiệc kéo dài hơn so với thời gian đã thỏa thuận ban đầu (thêm giờ, thêm nhân sự), có thể phát sinh phụ thu tương ứng. Nhà hàng sẽ trao đổi rõ nếu có phát sinh này.",phu_thu_tre_gio
101,H,Có được đổi người đứng tên đặt tiệc không?,Đổi người đại diện đặt tiệc có được không?,"Dạ được ạ, chỉ cần thông báo cho nhà hàng biết thông tin người đại diện mới để cập nhật và liên hệ thuận tiện hơn trong quá trình chuẩn bị tiệc.",doi_nguoi_dai_dien
102,H,Nếu có vấn đề phát sinh trong lúc diễn ra tiệc thì liên hệ ai để xử lý ngay?,Đang tiệc có vấn đề thì gọi ai?,"Dạ trong suốt buổi tiệc sẽ luôn có nhân viên/quản lý trực tiếp tại nhà hàng hỗ trợ, cứ báo trực tiếp cho nhân viên phục vụ hoặc nhân viên phụ trách tiệc để được xử lý nhanh chóng.",xu_ly_su_co_tai_cho
103,H,Chính sách bảo mật thông tin khách hàng như thế nào?,Thông tin em có được bảo mật không?,"Dạ nhà hàng cam kết chỉ sử dụng thông tin được cung cấp để phục vụ cho việc chuẩn bị và liên hệ đặt tiệc, không chia sẻ cho bên thứ ba ngoài mục đích tổ chức tiệc.",bao_mat_thong_tin
104,I,"Nhà hàng có chỗ đậu xe ô tô, xe khách không?",Có bãi đậu xe không ạ?,"Dạ nhà hàng có khu vực đỗ xe cho khách đến dự tiệc, kể cả xe ô tô cá nhân. Với đoàn xe lớn/xe khách nên báo trước số lượng xe.",bai_dau_xe
105,I,Từ trung tâm thị xã Vạn Ninh đến nhà hàng bao xa?,Đi từ trung tâm Vạn Ninh mất bao lâu?,"Dạ nhà hàng nằm tại Thôn Ninh Mã, xã Đại Lãnh, tỉnh Khánh Hòa. Anh/chị có thể dùng Google Maps tìm ""Nhà Hàng Tiệc Cưới Thiện Nga"" để xem quãng đường và thời gian di chuyển chính xác.",khoang_cach_di_chuyen
106,I,Có gần quốc lộ/đường lớn để dễ tìm không?,Đường vào có dễ đi không?,"Dạ khu vực Đại Lãnh, Vạn Ninh nằm gần tuyến đường chính, khá thuận tiện di chuyển bằng ô tô/xe máy.",duong_di_thuan_tien
107,I,Có hỗ trợ xe đưa đón khách ở xa đến dự tiệc không?,Có xe đưa đón không ạ?,"Dạ hiện nhà hàng chưa có dịch vụ xe đưa đón riêng, anh/chị có thể chủ động sắp xếp phương tiện hoặc liên hệ hotline để được tư vấn thêm.",xe_dua_don
108,I,Xung quanh nhà hàng có chỗ nghỉ ngơi/khách sạn cho khách ở xa không?,Gần đây có nhà nghỉ khách sạn không?,"Dạ khu vực Vạn Ninh – Đại Lãnh có một số nhà nghỉ, khách sạn gần biển, anh/chị có thể tìm kiếm thêm trên Google Maps hoặc liên hệ hotline để được gợi ý.",cho_o_gan_do
109,I,Đường đi có phù hợp cho xe hoa/đoàn rước dâu di chuyển không?,Đoàn xe hoa vào tận nơi được không?,"Dạ được ạ, đường vào khu vực nhà hàng đủ rộng cho đoàn xe hoa/rước dâu di chuyển và có khu vực đỗ xe tạm cho đoàn trong lúc diễn ra lễ.",duong_cho_xe_hoa
110,I,"Nhà hàng có ở gần biển không, có thể tổ chức tiệc ngoài trời view biển không?",Có view biển không ạ?,"Dạ khu vực Đại Lãnh, Vạn Ninh nằm gần biển, không gian thoáng đãng rất thích hợp cho tiệc cưới ngoài trời. Liên hệ hotline để được tư vấn thêm về vị trí và góc trang trí đẹp nhất.",view_bien
111,I,Có thể gửi định vị Google Maps chính xác không?,Cho xin link Google Maps với ạ,"Dạ anh/chị vào nhahangthiennga.com, bấm nút ""Mở Google Maps""/""Chỉ đường"" ở phần địa chỉ Cơ sở Đại Lãnh để lấy định vị chính xác, hoặc nhắn hotline để gửi trực tiếp link bản đồ.",link_google_maps
112,J,Hiện tại nhà hàng có chương trình khuyến mãi gì không?,Có ưu đãi gì hiện tại không ạ?,"Dạ nhà hàng thường xuyên có các chương trình ưu đãi, minigame nhận mã giảm giá (như minigame ""Lắc xí ngầu"" trên website) và ưu đãi theo mùa cưới. Theo dõi Fanpage hoặc hotline để cập nhật chương trình mới nhất.",khuyen_mai_hien_tai
113,J,"Minigame ""Lắc xí ngầu"" trên website chơi như thế nào?",Minigame lắc xí ngầu là gì?,"Dạ trên website có minigame ""Lắc xí ngầu"": khách lắc 3 hột xí ngầu, nếu ra ""Tài"" (tổng từ 11 trở lên) là trúng ưu đãi. Sau khi trúng, hoàn tất khảo sát ngắn để nhận mã ưu đãi áp dụng khi đặt tiệc/đặt bàn.",minigame_lac_xi_ngau
114,J,Đặt tiệc sớm có được ưu đãi gì không?,Đặt sớm có giảm giá không?,"Dạ việc đặt tiệc sớm giúp anh/chị chắc chắn giữ được ngày đẹp và có thời gian chuẩn bị chu đáo. Về ưu đãi cụ thể cho khách đặt sớm, liên hệ hotline để được cập nhật chương trình đang áp dụng.",uu_dai_dat_som
115,J,Có ưu đãi dành cho khách hàng cũ/giới thiệu khách mới không?,Khách quen có giảm giá không?,"Dạ nhà hàng luôn trân trọng khách hàng thân thiết và khách được giới thiệu, liên hệ hotline để được tư vấn ưu đãi dành riêng cho trường hợp này nếu chương trình đang áp dụng.",uu_dai_khach_quen
116,J,Vào các dịp lễ đặc biệt có chương trình gì không?,Lễ Valentine có ưu đãi gì không?,"Dạ vào các dịp lễ đặc biệt, nhà hàng thường có chương trình ưu đãi/trang trí theo chủ đề riêng. Theo dõi Fanpage hoặc liên hệ hotline gần ngày lễ để cập nhật.",uu_dai_dip_le
117,J,Mã ưu đãi nhận được từ minigame có áp dụng cho mọi loại tiệc không?,Mã giảm giá dùng cho tiệc nào cũng được không?,"Dạ điều kiện áp dụng mã ưu đãi sẽ được ghi rõ khi nhận mã sau minigame, thường áp dụng khi đặt bàn/đặt tiệc trong thời gian mã còn hiệu lực.",dieu_kien_ap_dung_ma
118,J,Có chương trình tích điểm cho khách đặt tiệc nhiều lần không?,Đặt nhiều lần có tích điểm không?,"Dạ hiện nhà hàng chưa triển khai hệ thống tích điểm chính thức, tuy nhiên khách hàng thân thiết luôn được ưu tiên hỗ trợ và tư vấn tận tình trong mỗi lần đặt tiệc.",tich_diem
119,J,Ưu đãi có áp dụng đồng thời với giảm giá theo số lượng bàn không?,Ưu đãi minigame cộng dồn với giảm giá số lượng được không?,"Dạ việc cộng dồn nhiều chương trình ưu đãi cùng lúc sẽ tùy theo quy định cụ thể của từng chương trình tại thời điểm áp dụng, liên hệ hotline để được tư vấn chính xác nhất.",cong_don_uu_dai
120,K,Nhà hàng có nhận tổ chức tiệc sinh nhật không?,Làm sinh nhật cho bé được không ạ?,"Dạ có ạ, nhà hàng nhận tổ chức tiệc sinh nhật cho cả trẻ em và người lớn, có thể kết hợp trang trí bóng bay, bánh kem theo yêu cầu.",tiec_sinh_nhat
121,K,"Nhà hàng có nhận tổ chức hội nghị, họp mặt công ty không?",Họp mặt cuối năm công ty được không?,"Dạ có ạ, nhà hàng nhận tổ chức tiệc hội nghị, họp mặt, liên hoan công ty với không gian rộng rãi và thực đơn linh hoạt theo ngân sách.",hoi_nghi_hop_mat
122,K,"Có nhận đặt tiệc tất niên, liên hoan cuối năm không?",Liên hoan cuối năm đặt sớm được không?,"Dạ có ạ, tuy nhiên vào dịp cuối năm lượng khách đặt tiệc tất niên/liên hoan rất đông, nên liên hệ đặt lịch sớm để đảm bảo có chỗ.",tiec_tat_nien
123,K,"Có nhận đặt tiệc thôi nôi, đầy tháng cho bé không?",Làm tiệc đầy tháng cho con được không?,"Dạ có ạ, nhà hàng nhận tổ chức tiệc thôi nôi, đầy tháng với không gian ấm cúng, có thể hỗ trợ trang trí theo chủ đề bé trai/bé gái.",tiec_thoi_noi
124,K,Khách đi ăn thường ngày có cần đặt bàn trước không?,Nhóm bạn đi nhậu có cần báo trước không?,"Dạ với nhóm nhỏ có thể ghé trực tiếp; tuy nhiên vào cuối tuần hoặc giờ cao điểm, nên gọi trước hotline để nhà hàng giữ bàn, tránh phải chờ lâu.",dat_ban_an_thuong
125,K,Nhà hàng có phục vụ tiệc gia đình nhỏ (dưới 10 người) không?,Nhóm nhỏ đặt bàn được không?,"Dạ có ạ, nhà hàng phục vụ linh hoạt từ tiệc gia đình nhỏ đến tiệc lớn, cứ liên hệ đặt bàn theo nhu cầu thực tế của mình.",tiec_gia_dinh_nho
126,K,Có nhận đặt tiệc cho đoàn khách du lịch không?,Đoàn du lịch ghé ăn được không?,"Dạ có ạ, nhà hàng có kinh nghiệm phục vụ đoàn khách đông (kể cả khách du lịch), liên hệ hotline trước để sắp xếp bàn và chuẩn bị thực đơn phù hợp số lượng đoàn.",doan_khach_du_lich
127,K,Nhà hàng có giao đồ ăn/đặt tiệc online qua ứng dụng giao đồ ăn không?,Có trên GrabFood/ShopeeFood không?,Dạ hiện tại cách đặt nhanh và chính xác nhất là liên hệ trực tiếp hotline hoặc nhắn tin Fanpage/website của nhà hàng.,dat_qua_app
128,K,Nhà hàng có phục vụ tiệc buffet không hay chỉ phục vụ theo mâm/set?,Ăn tự chọn được không?,Dạ hình thức phục vụ chính của nhà hàng là theo mâm/set thực đơn cố định. Muốn hình thức buffet cho sự kiện đặc biệt thì liên hệ hotline để trao đổi khả năng đáp ứng.,tiec_buffet
129,L,Nhà hàng có đảm bảo vệ sinh an toàn thực phẩm không?,Có giấy chứng nhận VSATTP không?,"Dạ nhà hàng luôn chú trọng vệ sinh an toàn thực phẩm trong khâu chọn nguyên liệu tươi sống và chế biến, đảm bảo an toàn cho khách hàng trong mỗi bữa tiệc.",vsattp
130,L,Nếu khách bị ngộ độc/dị ứng sau khi ăn thì nhà hàng xử lý ra sao?,Lỡ có sự cố về sức khỏe sau khi ăn thì sao?,"Dạ đây là tình huống nhà hàng luôn cố gắng phòng tránh tối đa bằng việc kiểm soát chất lượng nguyên liệu và chế biến. Nếu không may xảy ra, vui lòng liên hệ ngay hotline để nhà hàng phối hợp hỗ trợ xử lý kịp thời.",xu_ly_ngo_doc
131,L,Có thể yêu cầu nấu nhạt/ít cay cho người lớn tuổi không?,Người già ăn nhạt được không?,"Dạ được ạ, nhà hàng có thể điều chỉnh gia vị (nhạt hơn, ít cay, ít dầu mỡ) cho một số mâm dành riêng cho người lớn tuổi nếu báo trước nhu cầu này.",mon_nguoi_lon_tuoi
132,L,Nhân viên phục vụ có được đào tạo về an toàn vệ sinh không?,Nhân viên có được tập huấn VSATTP không?,Dạ đội ngũ nhân viên nhà hàng được hướng dẫn quy trình vệ sinh trong chế biến và phục vụ nhằm đảm bảo an toàn cho khách hàng.,dao_tao_nhan_vien
133,L,"Nước đá, nước uống tại nhà hàng có đảm bảo vệ sinh không?",Nước đá có sạch không ạ?,Dạ nhà hàng sử dụng nguồn nước đá và nước uống đảm bảo vệ sinh để phục vụ khách hàng an tâm trong suốt bữa tiệc.,nuoc_da_ve_sinh
134,L,Nhà hàng có khu vực riêng cho người khuyết tật/người già di chuyển khó khăn không?,Có lối đi cho xe lăn không?,"Dạ vui lòng báo trước nếu gia đình có người lớn tuổi hoặc di chuyển khó khăn, nhà hàng sẽ ưu tiên sắp xếp bàn ở vị trí thuận tiện, gần lối ra vào nhất có thể.",ho_tro_nguoi_gia
135,L,Có cần báo trước số lượng khách ăn chay/dị ứng để chuẩn bị không?,Cần báo trước bao nhiêu suất chay?,"Dạ nên báo số lượng suất chay hoặc thông tin dị ứng trước ít nhất 2–3 ngày trước tiệc để nhà hàng chuẩn bị nguyên liệu và chế biến riêng chu đáo, đảm bảo an toàn.",bao_truoc_suat_dac_biet
136,L,Thức ăn thừa/nguyên liệu có được nhà hàng bảo quản đúng cách không?,Nguyên liệu bảo quản có đảm bảo không?,Dạ nhà hàng tuân thủ quy trình bảo quản nguyên liệu (đặc biệt hải sản tươi sống) trong tủ lạnh/tủ đông đúng cách để đảm bảo tươi ngon và an toàn khi chế biến.,bao_quan_nguyen_lieu
137,L,Nhà hàng có phục vụ khách nước ngoài (menu tiếng Anh) không?,Có menu tiếng Anh không ạ?,"Dạ nhà hàng vẫn phục vụ khách nước ngoài bình thường, hiện thực đơn chính bằng tiếng Việt. Nếu cần hỗ trợ thêm về ngôn ngữ, vui lòng liên hệ hotline để nhà hàng sắp xếp hỗ trợ.",menu_tieng_anh
138,L,Có yêu cầu đặc biệt nào nhà hàng không thể đáp ứng không?,Có món/yêu cầu nào quán không làm được không?,"Dạ hầu hết các yêu cầu về thực đơn, trang trí, quy mô tiệc nhà hàng đều cố gắng đáp ứng linh hoạt. Yêu cầu đặc biệt/phức tạp, cứ trao đổi trực tiếp qua hotline để xác nhận khả năng thực hiện cụ thể.",yeu_cau_dac_biet
139,M,Muốn khiếu nại về chất lượng dịch vụ thì liên hệ ở đâu?,Khiếu nại thì gọi đâu ạ?,"Dạ anh/chị vui lòng phản ánh trực tiếp qua hotline 0965 626 128 hoặc nhắn tin Fanpage Facebook, mọi góp ý sẽ được tiếp nhận và phản hồi xử lý sớm nhất để phục vụ tốt hơn.",khieu_nai
140,M,"Sau khi đặt tiệc, bao lâu thì được phản hồi tư vấn?",Nhắn tin bao lâu thì trả lời vậy?,"Dạ nhà hàng cố gắng phản hồi tin nhắn/cuộc gọi trong thời gian sớm nhất trong giờ hoạt động. Cần gấp, nên gọi trực tiếp hotline để được hỗ trợ nhanh nhất.",thoi_gian_phan_hoi
141,M,Có thể góp ý về món ăn/dịch vụ sau khi dùng tiệc không?,Ăn xong có được góp ý không?,"Dạ nhà hàng rất trân trọng mọi góp ý của khách hàng, có thể để lại đánh giá trên Fanpage Facebook hoặc nhắn trực tiếp hotline sau khi dùng tiệc.",gop_y_danh_gia
142,M,Nhân viên tư vấn có hỗ trợ ngoài giờ hành chính không?,Buổi tối nhắn tin có ai trả lời không?,"Dạ nhà hàng hoạt động cả cuối tuần nên vẫn có thể hỗ trợ tư vấn ngoài giờ hành chính, tuy nhiên để chắc chắn được phản hồi nhanh, nên gọi trực tiếp hotline vào các khung giờ thuận tiện.",ho_tro_ngoai_gio
143,M,Có thể trao đổi qua Zalo không hay chỉ qua điện thoại/Facebook?,Có Zalo không ạ? ; Cho xin Zalo với ạ,"Dạ có ạ, anh/chị có thể nhắn Zalo trực tiếp qua https://zalo.me/0965626128 để được tư vấn nhanh, hoặc gọi hotline/nhắn Fanpage Facebook đều được.",kenh_zalo
144,M,Nếu không hài lòng có được hoàn tiền một phần không?,Dịch vụ tệ có được bồi hoàn không?,"Dạ nhà hàng luôn ưu tiên xử lý thỏa đáng khi có sự cố ngoài mong muốn, mức hỗ trợ/hoàn tiền (nếu có) sẽ tùy tình huống cụ thể sau khi nhà hàng xác minh. Vui lòng phản ánh chi tiết qua hotline để được xem xét và hỗ trợ.",hoan_tien_khieu_nai
145,M,Có kênh nào để theo dõi tình trạng xử lý khiếu nại không?,Gửi phản ánh rồi theo dõi kết quả ở đâu?,"Dạ sau khi tiếp nhận phản ánh, nhân viên phụ trách sẽ chủ động liên hệ lại qua số điện thoại đã cung cấp để thông báo tiến độ và kết quả xử lý.",theo_doi_khieu_nai
146,M,Có thể đặt lịch tư vấn trực tiếp với quản lý nhà hàng không?,Gặp trực tiếp quản lý được không?,"Dạ được ạ, với các yêu cầu đặc biệt hoặc tiệc quy mô lớn, anh/chị có thể đề nghị nhân viên tư vấn sắp xếp cuộc hẹn trao đổi trực tiếp với quản lý nhà hàng.",gap_quan_ly
147,N,chào hỏi mở đầu,chào shop ; cho hỏi ; alo ; xin chào ; chào ạ ; hi ; hello,"Dạ em chào anh/chị, em là trợ lý tư vấn của Nhà Hàng Tiệc Cưới Thiện Nga ạ! Anh/chị cần tư vấn đặt tiệc cưới, đặt bàn ăn uống hay thông tin thực đơn/giá cả ạ? Em hỗ trợ mình ngay đây ạ.",greeting
148,N,câu hỏi ngoài phạm vi,hôm nay thời tiết thế nào ; kể chuyện cười đi ; 1+1 bằng mấy,"Dạ em là trợ lý hỗ trợ tư vấn dịch vụ tiệc cưới – nhà hàng của Thiện Nga nên câu hỏi này em chưa hỗ trợ được ạ. Anh/chị cần tư vấn gì về đặt tiệc, thực đơn hay giá cả không ạ, em hỗ trợ ngay nhé.",out_of_scope
149,N,muốn gặp nhân viên thật,cho gặp nhân viên ; tư vấn viên thật đâu ; nói chuyện với người thật được không,"Dạ được ạ, anh/chị vui lòng để lại số điện thoại hoặc gọi trực tiếp hotline 0965 626 128, nhân viên tư vấn của nhà hàng sẽ liên hệ hỗ trợ anh/chị ngay ạ.",chuyen_nhan_vien
150,N,hỏi giá chung chung,giá bao nhiêu ; nhiêu tiền ; bao nhiêu vậy,"Dạ để tư vấn giá chính xác nhất, anh/chị cho em xin thêm thông tin: mình muốn hỏi giá món ăn lẻ, giá theo bàn tiệc hay giá trọn gói cưới hỏi ạ? Và anh/chị dự kiến tổ chức khoảng bao nhiêu bàn/khách ạ?",hoi_lai_lam_ro
151,N,xác nhận muốn đặt tiệc,ok đặt luôn ; chốt đặt tiệc nha ; vậy đặt giúp mình nha,"Dạ em cảm ơn anh/chị đã tin tưởng Thiện Nga ạ! Anh/chị cho em xin: họ tên, số điện thoại, ngày giờ tổ chức, số bàn dự kiến để em chuyển thông tin cho nhân viên phụ trách xác nhận và hướng dẫn đặt cọc giữ chỗ ạ.",chot_don
152,N,cảm ơn kết thúc,cảm ơn nha ; ok cảm ơn em ; vậy thôi nha,"Dạ em cảm ơn anh/chị rất nhiều ạ! Nếu cần hỗ trợ thêm bất cứ lúc nào, anh/chị cứ nhắn lại cho em nhé. Chúc anh/chị một ngày thật vui, chúc mừng hạnh phúc/chúc buổi tiệc thành công tốt đẹp ạ!",closing
153,N,phàn nàn bức xúc,dịch vụ tệ quá ; sao chậm trễ vậy ; tôi rất không hài lòng,Dạ em thành thật xin lỗi vì trải nghiệm chưa tốt đã làm phiền lòng anh/chị. Em xin phép ghi nhận thông tin để chuyển ngay đến quản lý/nhân viên phụ trách xử lý ạ. Anh/chị vui lòng cho em xin số điện thoại và mô tả cụ thể vấn đề để được hỗ trợ nhanh nhất ạ.,phan_nan
154,N,hỏi giờ hoạt động chatbot,mấy giờ có người trực vậy ; chatbot hoạt động giờ nào,"Dạ em (trợ lý tự động) hỗ trợ trả lời 24/7 các câu hỏi thường gặp ạ. Với các yêu cầu cần nhân viên trực tiếp xử lý, nhà hàng sẽ phản hồi trong giờ hoạt động hằng ngày (08:00–20:00) ạ.",gio_hoat_dong_chatbot
155,N,gửi hình concept trang trí,cho xem mẫu trang trí giống hình này được không ; gửi hình concept muốn làm giống vậy,"Dạ anh/chị gửi hình ảnh/ý tưởng mẫu qua đây, em sẽ chuyển cho bộ phận trang trí xem xét và tư vấn khả năng thực hiện cũng như báo giá phù hợp với concept mong muốn ạ.",gui_hinh_concept
156,O,40 Thực đơn cưới trọn gói là gì?,40 thực đơn cưới là sao? ; Thực đơn cưới trọn gói gồm những gì?,"Dạ, đây là bộ 40 thực đơn tiệc cưới đã được Thiện Nga phối sẵn, mỗi thực đơn gồm 6 món cho 1 bàn 10 người: 1 Khai vị + 3 Món chính + 1 Món lẩu + 1 Tráng miệng, chia thành 3 mức giá để dễ lựa chọn theo ngân sách. Xem đầy đủ tại mục Thực Đơn Cưới trên nhahangthiennga.com.",gioi_thieu_40_thuc_don
157,O,3 mức giá của 40 thực đơn cưới chênh lệch nhau thế nào?,"Phổ thông, trung cấp, cao cấp khác gì nhau?","Dạ có 3 mức: Thực đơn Phổ Thông 2.200.000đ/bàn (10 thực đơn) – không có bào ngư, cá mú, giò heo, soup bồ câu/hàu; Thực đơn Trung Cấp 2.300.000đ/bàn (20 thực đơn) – có thể có soup bồ câu hạt sen, một số món cá/hải sản khá hơn; Thực đơn Cao Cấp 2.400.000đ/bàn (10 thực đơn) – luôn có nguyên liệu thượng hạng như bào ngư, cá mú, giò heo hảo hạng.",so_sanh_3_muc_gia
158,O,Có thể tự chọn món để ghép mâm riêng không?,Tự ghép thực đơn riêng được không? ; Có công cụ tự chọn món không?,"Dạ có ạ, trên website có mục ""Tự Mix Menu Theo Ý Thích"": anh/chị tự chọn 1 Khai vị, 3 Món chính, 1 Lẩu và 1 Tráng miệng theo đúng cấu trúc 1 mâm tiệc 10 người như 40 thực đơn cưới, hệ thống sẽ tự tính giá dự kiến, sau đó bấm gọi hoặc nhắn Zalo để đặt luôn mâm vừa ghép.",tu_mix_menu
159,O,Công cụ tính giá mâm tiệc tự động có chính xác 100% không?,Giá tự tính có đúng không?,"Dạ giá hiển thị là giá dự kiến, được tính tự động dựa theo nhóm nguyên liệu của 3 mức giá thực đơn cưới hiện có. Để có báo giá chính xác 100%, vui lòng gọi hoặc nhắn Zalo để nhà hàng xác nhận lại trước khi đặt cọc.",do_chinh_xac_tinh_gia
160,O,Đặt tiệc cưới trọn gói qua Zalo như thế nào?,Đặt qua Zalo có nhanh không?,"Dạ rất tiện ạ, chỉ cần chọn 1 trong 40 thực đơn (hoặc tự mix), bấm nút ""Đặt menu""/""Nhắn Zalo đặt mâm này"" để mở Zalo https://zalo.me/0965626128, gửi thông tin ngày giờ, số bàn là nhà hàng sẽ tư vấn và xác nhận đặt tiệc ngay.",dat_qua_zalo
161,O,Có được tặng kèm gì khi đặt tiệc không?,Nghe nói có tặng món khai vị đúng không?,"Dạ đúng ạ, hiện nhà hàng có ưu đãi tặng kèm 1 món Khai Vị miễn phí để khách dùng trong lúc chờ vào tiệc chính, áp dụng khi đặt tiệc nấu tại gia/tiệc cưới qua nhahangthiennga.com.",tang_kem_khai_vi
162,O,Bàn 10 người là cố định hay có thể đặt bàn ít/nhiều người hơn?,Bàn 8 người có được không?,"Dạ mức giá 2.200.000–2.400.000đ được tính theo chuẩn 1 bàn 10 người. Nếu bàn có số người chênh lệch, nên báo trước để nhà hàng tư vấn điều chỉnh khẩu phần hoặc số bàn phù hợp, đảm bảo không thiếu không dư.",ban_10_nguoi
163,P,Thực đơn tổng của nhà hàng có tất cả bao nhiêu món để chọn?,Menu tổng có nhiều món không?,"Dạ thực đơn tổng của Thiện Nga có 100 món ăn, chia thành 9 nhóm: Khai Vị (25 món), Món Chính – Bò (16 món), Món Chính – Gà (11 món), Món Chính – Heo (9 món), Món Chính – Tôm & Mực (13 món), Món Chính – Cá (4 món), Món Chính Đặc Biệt Bào Ngư (4 món), Món Lẩu (13 món) và Tráng Miệng (5 món).",tong_quan_100_mon
164,P,"Món Lẩu có bao nhiêu loại, món nào là đặc sản của vùng?",Lẩu có mấy món?,"Dạ nhóm Lẩu có 13 món: Lẩu Thái hải sản, Lẩu măng chua cá mú/cá bóp, Lẩu mực nấu é ớt xiêm xanh, Lẩu gà nấu lá giang... Trong đó Lẩu mực Đại Lãnh là món đặc sản mang đậm hương vị vùng biển Đại Lãnh – Khánh Hòa, rất được khách yêu thích.",chi_tiet_mon_lau
165,P,Xem hình ảnh thực tế của các món ở đâu?,Có hình món ăn không?,"Dạ xem thêm hình ảnh món ăn thực tế tại mục ""Album Món Ăn"" trên nhahangthiennga.com, hoặc trên Fanpage Facebook của nhà hàng.",xem_album_mon_an
